
 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
 3. 3.2002  443.   0.04   3.18    0.8   0.1   5.3   0.0   0.1   0.0      -0.000
 4. 3.2002  442.   0.01   0.00    0.2  -0.1   4.4   0.0  -0.0   0.0       0.000
 5. 3.2002  438.   0.01   0.00    0.1   0.2   3.7   0.0   0.3   0.0       0.000
 6. 3.2002  443.   0.33   0.00    9.0   0.7   3.3   0.0   0.7   0.0      -0.000
 7. 3.2002  444.   0.31   0.00    5.1   0.8   3.0   0.0   1.1   0.0      -0.000
 8. 3.2002  441.   0.00   0.00    0.0   0.5   3.0   0.0   0.9   0.0      -0.000
 9. 3.2002  441.   0.26   0.00    4.3   0.4   3.3   0.0   0.3   0.0      -0.000
10. 3.2002  440.   0.19   0.00    3.2   0.9   3.3   0.0   1.4   0.0      -0.000
11. 3.2002  436.   0.00   0.00    0.0   1.0   3.2   0.0   1.6   0.0      -0.000
12. 3.2002  433.   0.03   0.00    0.5   0.7   3.0   0.0   0.8   0.0       0.000
13. 3.2002  435.   0.17   0.00    5.7   0.2   2.8   0.0   0.1   0.0       0.000
14. 3.2002  434.   0.12   0.17    1.7   0.1   2.6   0.0   0.2   0.0      -0.000
15. 3.2002  432.   0.02   0.26    0.5   0.1   2.4   0.0   0.0   0.0       0.000
16. 3.2002  430.   0.02   0.00    0.3   0.0   2.3   0.0   0.3   0.0      -0.000
17. 3.2002  428.   0.01   0.00    0.1   0.7   2.2   0.0   1.1   0.0      -0.000
18. 3.2002  436.   0.56   0.00   12.5   1.5   2.2   0.0   1.5   0.0       0.001
19. 3.2002  437.   0.19   0.00    3.2   0.6   2.0   0.0   0.8   0.0       0.000
20. 3.2002  440.   0.30   0.00    5.9   0.7   2.0   0.0   0.7   0.0       0.000
21. 3.2002  440.   0.15   0.00    2.5   0.4   2.2   0.0   0.5   0.0      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
22. 3.2002  443.   0.27   0.00    6.1   0.6   2.6   0.0   0.6   0.0       0.000
23. 3.2002  441.   0.06   0.00    1.0   0.1   2.9   0.0   0.6   0.0      -0.000
24. 3.2002  439.   0.05   0.00    1.0   0.1   3.2   0.0   0.4   0.0       0.000
25. 3.2002  435.   0.00   0.00    0.0   0.4   3.3   0.0   0.6   0.0      -0.000
26. 3.2002  432.   0.00   0.00    0.0   0.5   3.1   0.0   0.7   0.0       0.000
27. 3.2002  428.   0.00   0.00    0.0   0.6   2.8   0.0   0.9   0.0      -0.000
28. 3.2002  425.   0.00   0.00    0.0   0.9   2.5   0.0   1.5   0.0       0.000
29. 3.2002  421.   0.00   0.00    0.0   1.1   2.2   0.0   1.9   0.0      -0.000
30. 3.2002  419.   0.00   0.00    0.0   0.9   2.0   0.0   1.2   0.0      -0.000
31. 3.2002  416.   0.00   0.00    0.0   1.0   1.8   0.0   1.4   0.0      -0.000
 1. 4.2002  413.   0.00   0.00    0.0   0.8   1.6   0.0   1.2   0.0       0.000
 2. 4.2002  411.   0.00   0.00    0.0   1.3   1.4   0.0   2.4   0.0       0.000
 3. 4.2002  408.   0.00   0.00    0.0   1.2   1.3   0.0   3.0   0.0      -0.000
 4. 4.2002  406.   0.00   0.00    0.0   1.0   1.2   0.0   2.5   0.0      -0.000
 5. 4.2002  404.   0.00   0.00    0.0   0.8   1.1   0.0   2.0   0.0       0.000
 6. 4.2002  403.   0.00   0.00    0.0   0.5   1.0   0.0   1.0   0.0       0.000
 7. 4.2002  401.   0.00   0.00    0.0   0.9   0.9   0.0   1.6   0.0      -0.000
 8. 4.2002  399.   0.00   0.00    0.0   0.8   0.8   0.0   1.8   0.0      -0.000
 9. 4.2002  399.   0.01   0.00    0.2   0.0   0.7   0.0   1.6   0.0       0.000
10. 4.2002  398.   0.00   0.00    0.0   0.5   0.7   0.0   1.3   0.0      -0.000

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
11. 4.2002  397.   0.00   0.00    0.0   0.5   0.6   0.0   1.0   0.0      -0.000
12. 4.2002  395.   0.00   0.00    0.0   0.9   0.6   0.0   1.7   0.0       0.000
13. 4.2002  406.   0.13   0.00   12.2   0.2   0.6   0.0   0.1   0.0       0.000
14. 4.2002  418.   0.09   0.00   12.2   0.1   0.5   0.0   0.1   0.0      -0.000
15. 4.2002  424.   0.09   0.00    6.6   0.1   0.5   0.0   0.1   0.0       0.000
16. 4.2002  429.   0.12   0.00    5.4   0.2   0.5   0.0   0.1   0.0       0.000
17. 4.2002  430.   0.09   0.00    2.4   0.2   0.5   0.0   0.1   0.0      -0.000
18. 4.2002  431.   0.27   0.00    2.7   1.2   0.5   0.0   1.2   0.0       0.000
19. 4.2002  430.   0.00   0.00    0.1   1.0   0.7   0.0   1.3   0.0      -0.000
20. 4.2002  428.   0.00   0.00    0.0   1.0   1.2   0.0   1.2   0.0      -0.000
21. 4.2002  425.   0.00   0.00    0.0   1.2   1.8   0.0   1.5   0.0       0.000
22. 4.2002  421.   0.00   0.00    0.0   1.6   2.0   0.0   2.1   0.0       0.000
23. 4.2002  424.   0.36   0.00    6.0   1.3   1.9   0.0   1.3   0.0       0.000
24. 4.2002  423.   0.09   0.00    1.4   0.2   1.7   0.0   0.1   0.0       0.000
25. 4.2002  420.  -0.00   0.00    0.0   1.5   1.6   0.0   2.0   0.0       0.000
26. 4.2002  431.   0.38   0.00   13.0   1.1   1.5   0.0   1.1   0.0       0.002
27. 4.2002  445.   0.25   0.00   15.8   0.6   1.4   0.0   0.7   0.0       0.000
28. 4.2002  459.   0.17   0.00   16.4   0.4   1.4   0.0   0.4   0.0      -0.000
29. 4.2002  461.   0.38   0.00    5.9   1.2   2.5   0.0   1.5   0.0      -0.000
30. 4.2002  452.   0.04   0.00    0.6   1.2   8.4   0.0   1.8   0.0       0.000

